university_name,category,keyword,video_id,video_title,channel_name,published_at
NIT Calicut,placement,placement review,RyNwsGPwUKE,NIT Calicut Placements Reality #nitcalicut #placements,My Channel,2026-01-22T11:22:34Z
NIT Calicut,placement,placement review,pJGZsqKqvBQ,NIT Calicut College Review in One minute 🔥  #shorts #nit #iit #jeemains #iitmotivation,Ritik Meghwani,2022-09-10T13:57:48Z
NIT Calicut,placement,placement review,sQLRvTdPuMw,💥 NIT Calicut 2025 Cutoff &amp; Closing Rank 📈 | Fees &amp; Placement | JEE Main 2025,Careers360,2025-04-30T06:19:26Z
NIT Calicut,placement,placement review,uZYo4FjGPDU,Calicut NIT നിങ്ങൾക്ക് അറിയേണ്ടതെല്ലാം! | Xylem JEEnius,Xylem JEEnius,2024-02-04T14:15:21Z
NIT Calicut,placement,placement review,SGeSmCCsJsE,"Reality of NIT CALICUT Placements 2025 💰 Packages Revealed | Average, Highest Package | #Jobs #NIT",Collegedunia,2025-10-24T04:15:06Z
NIT Calicut,placement,placement review,Up7igYlY48A,"NIT Calicut గురించి పూర్తి వివరాలు | Fees, Placements, Hostel &amp; Campus Life",Yours Media,2026-06-01T10:39:06Z
NIT Rourkela,placement,placement review,HLZWU0RgPhk,✅ NIT Rourkela Placement Reality 😎🔥! #NITRourkela #PlacementReality #NITR #review #minivlog #3gr,3GR SPECIAL,2025-09-06T07:10:46Z
NIT Rourkela,placement,placement review,vNZjdbC9lRM,nit rourkela placement 2025 #shorts #nit #placement,ᴩʀꫝꜱʜꫝɴᴛ[NIT ALLAHABAD],2025-07-06T14:18:21Z
NIT Rourkela,placement,placement review,pox736fr3g4,My Placement Story NIT Rourkela 🎉 | How I Got Placed from NIT Rourkela 💼 | #placements #job #3gr ,3GR SPECIAL,2026-04-26T09:19:20Z
NIT Rourkela,placement,placement review,IfMbDQdOJXg,NIT Rourkela College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-09-17T06:30:19Z
NIT Rourkela,placement,placement review,8lWsMD02Iws,😮 NIT के Shocking Placements😱😱 #shorts #jee #iitjee #jee2024 #nitrourkela #jeemains2024 #cbse,Vedantu JEE Made Ejee,2023-08-02T12:17:21Z
NIT Rourkela,placement,placement review,04AkIlE_kVQ,My 2 Years Experience At NIT Rourkela | Watch This Before Coming To This College,Alokit Says,2024-12-18T11:02:43Z
