hashtag,sentiment,university_name,published_at,likes,reply_count
#justice4prakriti,Positive,KIIT University,2025-02-19 16:48:10+00:00,0,0
#justic4prakritisis,Positive,KIIT University,2025-02-19 16:25:47+00:00,0,0
#politicalpuppet,Negative,KIIT University,2025-02-19 16:12:53+00:00,2,0
#deshbhakt,Negative,KIIT University,2025-02-19 16:12:53+00:00,2,0
#vikatanforfreedomofexpression,Neutral,KIIT University,2025-02-19 16:10:19+00:00,0,0
#thanks,Positive,KIIT University,2025-02-19 16:04:51+00:00,0,0
#thankyousir,Positive,KIIT University,2025-02-19 15:01:23+00:00,0,0
#appreciate,Positive,KIIT University,2025-02-19 15:00:37+00:00,0,0
#give,Positive,KIIT University,2025-02-19 14:58:05+00:00,0,0
#justceforprakritilamsal,Positive,KIIT University,2025-02-19 14:52:28+00:00,0,0
#justiceforparkirti,Negative,KIIT University,2025-02-19 14:40:13+00:00,0,0
#justicefornikita,Neutral,KIIT University,2025-02-19 14:28:20+00:00,0,0
#deshbhakt,Neutral,KIIT University,2025-02-19 14:21:41+00:00,0,0
#justiceforprakirti,Neutral,KIIT University,2025-02-19 14:17:25+00:00,0,0
#justicforprakiti,Positive,KIIT University,2025-02-19 14:07:55+00:00,0,0
#raisevoiceforviolationinkiit,Negative,KIIT University,2025-02-19 14:07:17+00:00,0,0
#fromnepal,Positive,KIIT University,2025-02-19 13:40:12+00:00,0,0
#justiceforprakritididi,Positive,KIIT University,2025-02-19 13:39:03+00:00,1,0
#indiangoverment,Negative,KIIT University,2025-02-19 13:34:23+00:00,0,0
#pmmodi,Negative,KIIT University,2025-02-19 13:34:23+00:00,0,0
#aurat,Neutral,KIIT University,2025-02-19 12:54:49+00:00,0,0
#standwithnepaligirl,Neutral,KIIT University,2025-02-19 12:43:05+00:00,0,0
#thank,Positive,KIIT University,2025-02-19 12:37:15+00:00,0,0
#from,Positive,KIIT University,2025-02-19 12:37:15+00:00,0,0
#closekiituniversity,Neutral,KIIT University,2025-02-19 12:33:43+00:00,1,0
#kiituniversity,Neutral,KIIT University,2025-02-19 12:12:39+00:00,0,0
#supremecourt,Neutral,KIIT University,2025-02-19 11:40:25+00:00,0,0
#notfarekiit,Neutral,KIIT University,2025-02-19 11:26:00+00:00,0,0
#justiceforprakirti,Neutral,KIIT University,2025-02-19 11:25:02+00:00,1,0
#apologynotaccepted,Negative,KIIT University,2025-02-19 11:18:46+00:00,1,0
#shameonindianuniversityandpoliticscollectively,Neutral,KIIT University,2025-02-19 10:56:22+00:00,0,0
#thedeshbhakt,Positive,KIIT University,2025-02-19 10:51:02+00:00,0,0
#thankyoufromnepal,Positive,KIIT University,2025-02-19 10:37:29+00:00,7,0
#justiceforprakiti,Neutral,KIIT University,2025-02-19 10:08:30+00:00,0,0
#weneedhardaction,Positive,KIIT University,2025-02-19 09:20:29+00:00,0,0
#hilarious,Negative,KIIT University,2025-02-19 08:32:34+00:00,0,0
#justiceforprakitilamsal,Positive,KIIT University,2025-02-19 08:32:15+00:00,0,0
#justiceforprakiti,Positive,KIIT University,2025-02-19 08:32:09+00:00,0,0
#justiceforprakiti,Neutral,KIIT University,2025-02-19 08:30:31+00:00,0,0
#thankyoubharatpeople,Positive,KIIT University,2025-02-19 08:18:50+00:00,230,6
#justicforprakritilamsal,Positive,KIIT University,2025-02-19 08:14:49+00:00,0,0
#justic,Neutral,KIIT University,2025-02-19 08:09:57+00:00,0,0
#shame_on_kiit_administration,Neutral,KIIT University,2025-02-19 08:04:53+00:00,0,0
#destroyed_india_nepal_ir,Neutral,KIIT University,2025-02-19 08:04:53+00:00,0,0
#justice_for_prakriti,Neutral,KIIT University,2025-02-19 08:04:53+00:00,0,0
#wewants,Positive,KIIT University,2025-02-19 07:42:01+00:00,0,0
#odishagovt,Positive,KIIT University,2025-02-19 07:28:03+00:00,0,0
#blackbritishkiit,Neutral,KIIT University,2025-02-19 07:20:02+00:00,0,0
#justicforprakrati,Neutral,KIIT University,2025-02-19 07:20:02+00:00,0,0
#backoffindia,Negative,KIIT University,2025-02-19 07:18:49+00:00,0,0
#advik,Negative,KIIT University,2025-02-19 07:16:32+00:00,0,0
#manoj,Negative,KIIT University,2025-02-19 07:16:32+00:00,0,0
#kiit,Negative,KIIT University,2025-02-19 07:16:32+00:00,0,0
#student_justice,Positive,KIIT University,2025-02-19 07:16:02+00:00,0,0
#justice_for_women,Positive,KIIT University,2025-02-19 07:16:02+00:00,0,0
#justice_for_all,Positive,KIIT University,2025-02-19 07:16:02+00:00,0,0
#cancelkiit,Neutral,KIIT University,2025-02-19 06:39:40+00:00,0,0
#deshbhakt,Negative,KIIT University,2025-02-19 06:37:37+00:00,0,0
#vishwaguru,Neutral,KIIT University,2025-02-19 06:24:19+00:00,1,0
#prakritilamshal,Positive,KIIT University,2025-02-19 06:22:09+00:00,0,0
