Source,Target,Weight
devi,janki,6
exam,govt,6
devi,memorial,6
north,south,6
bcom,honour,6
exam,mark,6
get,selected,6
get,definitely,6
white,shirt,6
ranking,placement,6
pata,tumhe,6
admission,kaisa,6
rhi,baat,6
category,female,6
abhi,initial,6
admission,apply,6
hostel,kaisa,6
allah,insha,6
session,late,6
pura,bihar,6
year,branch,6
jawaharlal,nehru,6
pure,bihar,6
usko,kaam,6
single,room,6
बिहार,पूरे,6
बिहार,सरकार,6
baad,karne,6
admission,open,6
high,chance,6
seat,reserved,6
loan,leke,6
clg,konsa,6
management,christian,6
best,class,6
try,kro,6
get,obc,6
high,cutoff,6
राज्य,सरकार,6
parbon,puru,6
good,analysis,6
obc,percentile,6
thik,jayega,6
good,suggest,6
math,physic,6
branch,civil,6
kare,apply,6
mujhe,hostel,6
bta,sakta,6
biotech,bioinformatics,6
private,isse,6
central,ayiye,6
rank,bhopal,6
placement,etc,6
information,technology,6
gya,ban,6
patna,haal,6
है।,नहीं,6
entrance,dena,6
हाल,बुरा,6
contact,instagram,6
jayega,llb,6
admission,pharma,6
form,filled,6
admission,cancel,6
class,board,6
class,nice,6
tech,psg,6
hota,llb,6
best,private,6
placement,avg,6
sppu,pune,6
science,honour,6
placement,best,6
science,kaisa,6
pannunga,sneak,6
cse,durg,6
gya,chala,6
admission,sppu,6
placement,decent,6
language,foreign,6
placement,year,6
entrance,online,6
हैं,करते,6
language,domain,6
going,abroad,6
rank,comedk,6
cutoff,round,6
contact,aapse,6
chahiye,karni,6
exam,sem,6
station,railway,6
dada,baap,6
janta,usko,6
score,obc,6
graphic,era,6
exam,maine,6
system,corrupt,6
desh,barbad,6
cse,percentile,6
darbhanga,lnmu,6
cse,jaipur,6
cse,scholarship,6
state,india,6
state,board,6
state,govt,6
iske,alawa,6
cse,specialisation,6
better,know,6
score,normalised,6
want,study,6
cse,cutoff,6
mark,general,6
rank,closing,6
mark,required,6
din,abhi,6
score,gat,6
black,shirt,6
tak,aaj,6
rank,chennai,6
cse,jayega,6
cse,tell,6
kaisa,rahega,6
cse,tech,6
bjp,vote,6
bihar,neta,6
clg,pvt,6
admission,matt,6
noida,jss,6
cet,mht,6
scholarship,scheme,6
fee,tution,6
hota,addmission,6
give,information,6
admission,patna,6
fee,refund,6
placement,package,6
placement,kesa,6
government,state,6
mechanical,electrical,6
fee,registration,6
commerce,math,6
fee,tuition,6
admission,sakte,6
scholarship,milegi,6
mmmut,gorakhpur,6
bad,situation,6
got,get,6
placement,research,6
sakta,agriculture,6
haal,yhi,6
round,csab,6
round,jayega,6
time,fill,6
biotechnology,kaisa,6
year,total,6
branch,milegi,6
percentile,kitne,6
jai,bihar,6
kiet,ghaziabad,6
whatsapp,remember,6
hons,eco,6
mujhe,percentile,6
class,regular,6
शिक्षा,बर्बाद,6
chem,phy,6
average,lakh,6
give,want,6
time,waste,6
time,ghorakhpur,6
city,intimation,6
science,forensic,5
first,sem,5
sakta,koun,5
program,hons,5
week,july,5
stay,vasthundhi,5
mujhe,mark,5
honour,economics,5
kuchh,nahin,5
science,chance,5
din,gye,5
wale,aane,5
preference,pcb,5
lakh,thousand,5
abhi,gya,5
aaj,maine,5
non,tech,5
north,indian,5
mujhe,pta,5
form,jab,5
english,honour,5
form,bhara,5
science,good,5
clg,get,5
facility,mess,5
year,got,5
paisa,kat,5
science,gat,5
year,passed,5
लालू,यादव,5
mujhe,jayega,5
score,raw,5
rhega,shi,5
form,reject,5
din,bad,5
form,aayega,5
गया,किया,5
hey,sending,5
free,counselling,5
bad,result,5
sakta,hoon,5
science,available,5
science,indian,5
science,admission,5
better,get,5
available,scholarship,5
wale,padhne,5
address,permanent,5
mujhe,chahiye,5
government,india,5
din,rha,5
assam,silchar,5
thinking,taking,5
gye,kat,5
collage,private,5
mujhe,llb,5
bannari,amman,5
science,environmental,5
whatsapp,community,5
ragging,hostel,5
ragging,death,5
available,nehu,5
form,jmi,5
mujhe,cse,5
score,card,5
mujhe,rha,5
year,lpa,5
mujhe,category,5
form,bharne,5
integrated,geology,5
बहुत,सही,5
sakta,addmission,5
integrated,cusb,5
subject,chahiye,5
score,ncet,5
mujhe,aisa,5
year,rha,5
